dummy,event,date,eventnumber,position,time,agegrade,PB  ,mins,secs,runnumber
,Hilly Fields,27/10/2012,8,50,31:02:00,48.50%, ,31,2,1
,Hilly Fields,03/11/2012,9,35,29:41:00,50.70%,PB  ,29,41,2
,Hilly Fields,17/11/2012,11,45,29:59:00,50.19%, ,29,59,3
,Hilly Fields,24/11/2012,12,44,30:47:00,48.89%, ,30,47,4
,Hilly Fields,01/12/2012,13,45,29:44:00,50.62%, ,29,44,5
,Hilly Fields,15/12/2012,15,34,29:19:00,51.34%,PB  ,29,19,6
,Hilly Fields,22/12/2012,16,23,31:32:00,47.73%, ,31,32,7
,Hilly Fields,02/02/2013,24,56,31:25:00,48.17%, ,31,25,8
,Hilly Fields,16/02/2013,26,45,29:30:00,51.30%, ,29,30,9
,Hilly Fields,20/04/2013,35,67,29:26:00,51.42%, ,29,26,10
,Hilly Fields,06/07/2013,45,81,33:24:00,45.31%, ,33,24,11
,Hilly Fields,05/10/2013,58,60,30:39:00,49.37%, ,30,39,12
,Hilly Fields,28/12/2013,71,73,34:36:00,43.74%, ,34,36,13
,Barnsley,22/02/2014,161,105,30:52:00,49.24%, ,30,52,14
,Hilly Fields,01/03/2014,81,72,30:52:00,49.24%, ,30,52,15
,Hilly Fields,22/03/2014,84,84,29:21:00,51.79%, ,29,21,16
,Hilly Fields,29/03/2014,85,85,29:05:00,52.26%,PB  ,29,5,17
,Barnsley,19/04/2014,169,136,30:46:00,49.40%,PB  ,30,46,18
,Hilly Fields,26/04/2014,89,102,29:32:00,51.47%, ,29,32,19
,Hilly Fields,19/07/2014,100,89,29:33:00,51.44%, ,29,33,20
,Hilly Fields,16/08/2014,104,109,32:54:00,46.20%, ,32,54,21
,Hilly Fields,30/08/2014,106,100,29:17:00,51.91%, ,29,17,22
,Hilly Fields,20/09/2014,109,92,29:39:00,51.26%, ,29,39,23
,Hilly Fields,04/10/2014,111,117,31:18:00,48.56%, ,31,18,24
,Hilly Fields,03/01/2015,126,104,31:21:00,48.48%, ,31,21,25
,Hilly Fields,28/03/2015,138,115,32:33:00,47.00%, ,32,33,26
,Hilly Fields,04/04/2015,139,77,31:47:00,48.14%, ,31,47,27
,Hilly Fields,11/04/2015,140,124,29:59:00,51.03%, ,29,59,28
,Hilly Fields,25/04/2015,142,110,31:26:00,48.67%, ,31,26,29
,Burgess,20/06/2015,141,132,28:39:00,53.40%, ,28,39,30
,Barnsley,29/08/2015,238,108,29:34:00,51.75%,PB  ,29,34,31
,Hilly Fields,17/10/2015,166,179,40:13:00,38.04%, ,40,13,32
,Hilly Fields,07/11/2015,169,115,30:59:00,49.38%, ,30,59,33
,Hilly Fields,14/11/2015,170,129,31:06:00,49.20%, ,31,6,34
,Hilly Fields,21/11/2015,171,117,33:30:00,45.67%, ,33,30,35
,Hilly Fields,28/11/2015,172,122,31:29:00,48.60%, ,31,29,36
,Hove Promenade,12/12/2015,21,75,29:01:00,52.73%, ,29,1,37
,Hilly Fields,19/12/2015,175,113,31:28:00,48.62%, ,31,28,38
,Hilly Fields,26/12/2015,177,87,32:28:00,47.13%, ,32,28,39
,Hilly Fields,09/01/2016,180,202,32:32:00,47.03%, ,32,32,40
,Hilly Fields,23/01/2016,182,192,31:47:00,48.14%, ,31,47,41
,Hilly Fields,30/01/2016,183,164,34:02:00,45.20%, ,34,2,42
,Hilly Fields,12/03/2016,189,176,31:56:00,48.17%, ,31,56,43
,Hilly Fields,19/03/2016,190,168,31:09:00,49.38%, ,31,9,44
,Barnsley,09/04/2016,272,120,32:06:00,47.92%, ,32,6,45
,Hilly Fields,30/04/2016,196,195,32:37:00,47.16%, ,32,37,46
,Hilly Fields,07/05/2016,197,204,32:25:00,47.46%, ,32,25,47
